ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,padj HD,padj H_LF,padj H_HF,padj D_LF,padj D_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,t HD,t H_LF,t H_HF,t D_LF,t D_HF,t_HF_LF,ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,t HD,t H_LF,t H_HF,t D_LF,t D_HF,t_HF_LF
rFEF,rTCS,0.15201929848703463,0.14933983599516892,0.15202320627269383,0.15062883124042356,0.1382989375444224,0.1307939705911306,0.1382805313018722,0.13805197798774121,1.0,1.0,1.0,1.0,1.0,1.0,0.019873829105782677,0.009569617412457605,0.019904211834020403,0.010046265342086552,-2.8210823125756916e-05,-0.010075171115078014,0.24340370272220227,0.11720339847087101,0.24377581362808265,0.12304111954359571,-0.0003455106094100602,-0.12339514151584473,rFEF,rTCS,0.15201929848703463,0.14933983599516892,0.15202320627269383,0.15062883124042356,0.1382989375444224,0.1307939705911306,0.1382805313018722,0.13805197798774121,0.8077761480417525,0.906738226138056,0.8074880599225079,0.9021158771121749,0.9997244376503337,0.9018356653502207,0.019873829105782677,0.009569617412457605,0.019904211834020403,0.010046265342086552,-2.8210823125756916e-05,-0.010075171115078014,0.24340370272220227,0.11720339847087101,0.24377581362808265,0.12304111954359571,-0.0003455106094100602,-0.12339514151584473
rFEF,rV1,0.14751930452253514,0.1481817484410355,0.14752966328854664,0.14707566253507476,0.11563575218930326,0.10945310718754385,0.11564628556466708,0.11609312406760251,1.0,1.0,1.0,1.0,1.0,1.0,-0.005874032035209293,-0.00978746285661497,-0.0057819008382662615,0.003822580175705338,-8.942749795853315e-05,-0.003911657599345844,-0.0719419060951248,-0.11987144937574853,-0.07081353398561333,0.04681685465678272,-0.0010952586948609528,-0.047907825834387574,rFEF,rV1,0.14751930452253514,0.1481817484410355,0.14752966328854664,0.14707566253507476,0.11563575218930326,0.10945310718754385,0.11564628556466708,0.11609312406760251,0.9426721942065035,0.9046252419067026,0.9435698351588692,0.962674825902649,0.9991264754343264,0.9618056977065087,-0.005874032035209293,-0.00978746285661497,-0.0057819008382662615,0.003822580175705338,-8.942749795853315e-05,-0.003911657599345844,-0.0719419060951248,-0.11987144937574853,-0.07081353398561333,0.04681685465678272,-0.0010952586948609528,-0.047907825834387574
rFEF,rV2,0.14319013274708914,0.143314896600144,0.1431574917526371,0.13899650836808283,0.12165752183186615,0.13072087810492544,0.12187044895903582,0.115523109426156,1.0,1.0,1.0,1.0,1.0,1.0,-0.0009864196013530326,-0.03494905484765455,-0.001243478277548549,0.035291495328734934,0.0002676204694068277,-0.03498459337986841,-0.01208112347797262,-0.4280367568464826,-0.01522943643114432,0.43223077907608337,0.003277667973854219,-0.42847201319713973,rFEF,rV2,0.14319013274708914,0.143314896600144,0.1431574917526371,0.13899650836808283,0.12165752183186615,0.13072087810492544,0.12187044895903582,0.115523109426156,0.9903649218523277,0.668778470559104,0.9878542170198924,0.6657295051283558,0.9973858970989548,0.6684617925296638,-0.0009864196013530326,-0.03494905484765455,-0.001243478277548549,0.035291495328734934,0.0002676204694068277,-0.03498459337986841,-0.01208112347797262,-0.4280367568464826,-0.01522943643114432,0.43223077907608337,0.003277667973854219,-0.42847201319713973
rFEF,lFEF,0.11821997127469983,0.11254486748550571,0.11646650082599837,0.11798543147095727,0.1019516525181682,0.0877263322452447,0.09962563389900476,0.10151230475447945,1.0,1.0,1.0,1.0,1.0,1.0,0.05957223632752906,0.0572518736321624,0.04170993400021159,0.0023016168075036974,0.01736732404874296,0.015077516314037955,0.7296079091946892,0.7011893860855025,0.510840277528408,0.02818893380898835,0.21270541058493753,0.18466110778940997,rFEF,lFEF,0.11821997127469983,0.11254486748550571,0.11646650082599837,0.11798543147095727,0.1019516525181682,0.0877263322452447,0.09962563389900476,0.10151230475447945,0.4659155692973789,0.48345759484424755,0.6096514350208251,0.9775208678290503,0.8316292326824796,0.8535574593845858,0.05957223632752906,0.0572518736321624,0.04170993400021159,0.0023016168075036974,0.01736732404874296,0.015077516314037955,0.7296079091946892,0.7011893860855025,0.510840277528408,0.02818893380898835,0.21270541058493753,0.18466110778940997
rFEF,lPCI,0.13959197840622128,0.1381200177245487,0.14011671450205165,0.13913013185676099,0.13195283171493913,0.13820117940809998,0.13019269863776883,0.13216226442871515,1.0,1.0,1.0,1.0,1.0,1.0,0.010876110754409621,0.007457944207531873,0.014847427916033266,0.0034914779538129403,-0.003996627346054208,-0.0075082186593664725,0.1332046086715009,0.0913407891929927,0.1818431119351805,0.04276169717509198,-0.04894848844943268,-0.09195652296345717,rFEF,lPCI,0.13959197840622128,0.1381200177245487,0.14011671450205165,0.13913013185676099,0.13195283171493913,0.13820117940809998,0.13019269863776883,0.13216226442871515,0.8940763778369271,0.9272523961835648,0.8557674713632302,0.9659057710521928,0.9609766904905412,0.926763378564586,0.010876110754409621,0.007457944207531873,0.014847427916033266,0.0034914779538129403,-0.003996627346054208,-0.0075082186593664725,0.1332046086715009,0.0913407891929927,0.1818431119351805,0.04276169717509198,-0.04894848844943268,-0.09195652296345717
rFEF,lPCM,0.15429447320721745,0.13910918678883866,0.15315812315294347,0.15385571899067677,0.12539192503863714,0.11708833341973313,0.1237580728982251,0.12683162764892097,1.0,1.0,1.0,1.0,1.0,1.0,0.12496749637387373,0.12061500122298952,0.11642380028580779,0.0034732300679768437,0.00910640316310329,0.005557928575740095,1.5305330027454886,1.4772260416074663,1.425894523079617,0.042538207129177,0.111530205708349,0.0680704451869844,rFEF,lPCM,0.15429447320721745,0.13910918678883866,0.15315812315294347,0.15385571899067677,0.12539192503863714,0.11708833341973313,0.1237580728982251,0.12683162764892097,0.12641365005754854,0.14014148682787528,0.1544205817946298,0.9660838534642614,0.9112333380793434,0.9457523105691918,0.12496749637387373,0.12061500122298952,0.11642380028580779,0.0034732300679768437,0.00910640316310329,0.005557928575740095,1.5305330027454886,1.4772260416074663,1.425894523079617,0.042538207129177,0.111530205708349,0.0680704451869844
rFEF,lPCS,0.13009791116273212,0.1461787097796576,0.13111991490203,0.1298530051175217,0.13290725596164904,0.13245116235380558,0.13664554652492844,0.13248632734011406,1.0,1.0,1.0,1.0,1.0,1.0,-0.12099824307564858,-0.12303636089531668,-0.11172080182090559,0.0018425254837491438,-0.007569580898670243,-0.009397961507304403,-1.4819197765429342,-1.5068815200122379,-1.3682947905791023,0.02256623636630071,-0.09270805384230114,-0.11510105157606636,rFEF,lPCS,0.13009791116273212,0.1461787097796576,0.13111991490203,0.1298530051175217,0.13290725596164904,0.13245116235380558,0.13664554652492844,0.13248632734011406,0.1388883825795995,0.13236908649205167,0.17173368301264627,0.9820038040592549,0.9261665480735286,0.9084036635872972,-0.12099824307564858,-0.12303636089531668,-0.11172080182090559,0.0018425254837491438,-0.007569580898670243,-0.009397961507304403,-1.4819197765429342,-1.5068815200122379,-1.3682947905791023,0.02256623636630071,-0.09270805384230114,-0.11510105157606636
rFEF,lPFCCL,0.1815432200744625,0.173109717040483,0.18780779250369473,0.18075114663660732,0.14050207263460968,0.13592219578814582,0.1425913632492495,0.1403298950946843,1.0,1.0,1.0,1.0,1.0,1.0,0.06090840103762674,0.055222839262058405,0.10534031622418932,0.005631496095658672,-0.044182956230064574,-0.049799367980375216,0.745972517954955,0.6763388916988811,1.290150120463441,0.06897145961419715,-0.5411284904569065,-0.6099152053250706,rFEF,lPFCCL,0.1815432200744625,0.173109717040483,0.18780779250369473,0.18075114663660732,0.14050207263460968,0.13592219578814582,0.1425913632492495,0.1403298950946843,0.455977147860568,0.4990870028894322,0.1974971979081792,0.9450353933735808,0.5886205407303746,0.5421496645663871,0.06090840103762674,0.055222839262058405,0.10534031622418932,0.005631496095658672,-0.044182956230064574,-0.049799367980375216,0.745972517954955,0.6763388916988811,1.290150120463441,0.06897145961419715,-0.5411284904569065,-0.6099152053250706
rFEF,lPFCDL,0.15119514657196187,0.13845372858815128,0.12278432315569679,0.1518908853227026,0.1323857508539598,0.12409474090842473,0.10916606529999354,0.13300741956381928,1.0,1.0,1.0,1.0,1.0,1.0,0.09913832858459326,0.10429075817503425,-0.1338529944288937,-0.005234319417955595,0.23376589832815287,0.2388222850833927,1.2141915949231479,1.2772957120841364,-1.639357684471945,-0.06410705862366523,2.863035850836528,2.924963688299052,rFEF,lPFCDL,0.15119514657196187,0.13845372858815128,0.12278432315569679,0.1518908853227026,0.1323857508539598,0.12409474090842473,0.10916606529999354,0.13300741956381928,0.22515384402702182,0.2019935521126563,0.10166472102746363,0.9489064045380784,0.004343066298995874,0.0035755575578069287,0.09913832858459326,0.10429075817503425,-0.1338529944288937,-0.005234319417955595,0.23376589832815287,0.2388222850833927,1.2141915949231479,1.2772957120841364,-1.639357684471945,-0.06410705862366523,2.863035850836528,2.924963688299052
rFEF,lPFCDM,0.14945135668978035,0.15458698057101602,0.14909534334033472,0.1490357845051625,0.11490858818289619,0.12289931690645572,0.11463446666900723,0.11533393592239095,1.0,1.0,1.0,1.0,1.0,1.0,-0.04309499645314294,-0.04650185477239877,-0.046133742366212135,0.0036038371262367918,0.003096754509671182,-0.0005171076711622852,-0.5278037588862554,-0.5695290814269188,-0.5650206436111919,0.04413781037689113,0.03792734203678555,-0.006333249682132569,rFEF,lPFCDM,0.14945135668978035,0.15458698057101602,0.14909534334033472,0.1490357845051625,0.11490858818289619,0.12289931690645572,0.11463446666900723,0.11533393592239095,0.5978313289519452,0.5692110094583452,0.5722716206293077,0.9648092878209378,0.9697582705579106,0.9949489437819519,-0.04309499645314294,-0.04650185477239877,-0.046133742366212135,0.0036038371262367918,0.003096754509671182,-0.0005171076711622852,-0.5278037588862554,-0.5695290814269188,-0.5650206436111919,0.04413781037689113,0.03792734203678555,-0.006333249682132569
